故障类型,FaultType,类型值,点位Key,原始故障代码HEX,原始故障代码DEC,统一原因码HEX,统一原因码DEC,是否作为故障,中文描述
常态故障,STANDBY,1,standby_0001,0x0001,1,0x30001,196609,是,交流接触器故障
常态故障,STANDBY,1,standby_0002,0x0002,2,0x30002,196610,是,车辆接触器粘连
常态故障,STANDBY,1,standby_0003,0x0003,3,0x30003,196611,是,直流接触器1粘连
常态故障,STANDBY,1,standby_0004,0x0004,4,0x30004,196612,是,直流接触器2粘连
常态故障,STANDBY,1,standby_0005,0x0005,5,0x30005,196613,是,模块启动失败
常态故障,STANDBY,1,standby_0006,0x0006,6,0x30006,196614,是,绝缘检测告警
常态故障,STANDBY,1,standby_0007,0x0007,7,0x30007,196615,是,绝缘检测故障
常态故障,STANDBY,1,standby_0008,0x0008,8,0x30008,196616,是,模块关闭失败
常态故障,STANDBY,1,standby_0009,0x0009,9,0x30009,196617,是,泄放回路故障---粘连
常态故障,STANDBY,1,standby_000A,0x000A,10,0x3000A,196618,是,辅助电源故障
常态故障,STANDBY,1,standby_000B,0x000B,11,0x3000B,196619,是,握手阶段通讯超时
常态故障,STANDBY,1,standby_000C,0x000C,12,0x3000C,196620,是,配置阶段通讯超时
常态故障,STANDBY,1,standby_000D,0x000D,13,0x3000D,196621,是,充电阶段通讯超时
常态故障,STANDBY,1,standby_000E,0x000E,14,0x3000E,196622,是,软启动升压失败
常态故障,STANDBY,1,standby_000F,0x000F,15,0x3000F,196623,是,软启动电流异常
常态故障,STANDBY,1,standby_0010,0x0010,16,0x30010,196624,是,输出电流故障
常态故障,STANDBY,1,standby_0011,0x0011,17,0x30011,196625,是,结束阶段通讯超时
常态故障,STANDBY,1,standby_0012,0x0012,18,0x30012,196626,是,车辆通讯多包异常
常态故障,STANDBY,1,standby_0013,0x0013,19,0x30013,196627,是,充电模块通讯超时
常态故障,STANDBY,1,standby_0014,0x0014,20,0x30014,196628,是,充电模块故障
常态故障,STANDBY,1,standby_0015,0x0015,21,0x30015,196629,是,熔丝故障
常态故障,STANDBY,1,standby_0016,0x0016,22,0x30016,196630,是,过温故障
常态故障,STANDBY,1,standby_0017,0x0017,23,0x30017,196631,是,烟感故障
常态故障,STANDBY,1,standby_0018,0x0018,24,0x30018,196632,是,断路器故障
常态故障,STANDBY,1,standby_0019,0x0019,25,0x30019,196633,是,CC1电压异常
常态故障,STANDBY,1,standby_001A,0x001A,26,0x3001A,196634,是,PE断开故障
常态故障,STANDBY,1,standby_001B,0x001B,27,0x3001B,196635,是,功率模块不足
常态故障,STANDBY,1,standby_001C,0x001C,28,0x3001C,196636,是,车辆暂停充电
常态故障,STANDBY,1,standby_001D,0x001D,29,0x3001D,196637,是,车辆BSM异常
常态故障,STANDBY,1,standby_001E,0x001E,30,0x3001E,196638,是,违规拔枪
常态故障,STANDBY,1,standby_001F,0x001F,31,0x3001F,196639,是,电池电压过低1(距离第一次测得电池电压为0后2min内电池电压仍为0)
常态故障,STANDBY,1,standby_0020,0x0020,32,0x30020,196640,是,电池电压反接
常态故障,STANDBY,1,standby_0021,0x0021,33,0x30021,196641,是,车辆就绪超时
常态故障,STANDBY,1,standby_0022,0x0022,34,0x30022,196642,是,急停故障
常态故障,STANDBY,1,standby_0023,0x0023,35,0x30023,196643,是,防反二极管故障
常态故障,STANDBY,1,standby_0024,0x0024,36,0x30024,196644,是,充电桩控制器通讯故障（整流柜侧）
常态故障,STANDBY,1,standby_0025,0x0025,37,0x30025,196645,是,BMS超时重新握手3次后停止
常态故障,STANDBY,1,standby_0026,0x0026,38,0x30026,196646,是,BRO_AA之后又发BRO_00
常态故障,STANDBY,1,standby_0027,0x0027,39,0x30027,196647,是,电池电压过低2//
常态故障,STANDBY,1,standby_0028,0x0028,40,0x30028,196648,是,模块软启动阶段报文超时//
常态故障,STANDBY,1,standby_0029,0x0029,41,0x30029,196649,是,充电暂停阶段报文超时
常态故障,STANDBY,1,standby_002A,0x002A,42,0x3002A,196650,是,充电桩要求停止充电(ZLG)
常态故障,STANDBY,1,standby_002B,0x002B,43,0x3002B,196651,是,充电桩与计费模块通讯超时（CDZ）
常态故障,STANDBY,1,standby_002C,0x002C,44,0x3002C,196652,是,充电桩与整流柜通讯超时（CDZ）
常态故障,STANDBY,1,standby_002D,0x002D,45,0x3002D,196653,是,输出电压超过BCP中最高允许电压（CDZ）
常态故障,STANDBY,1,standby_002E,0x002E,46,0x3002E,196654,是,输出电流超过BCP中最高允许电流（CDZ）
常态故障,STANDBY,1,standby_002F,0x002F,47,0x3002F,196655,是,BCS中最高单体电池电压超过BCP中最高允许单体电池电压（CDZ）
常态故障,STANDBY,1,standby_0030,0x0030,48,0x30030,196656,是,BSM中最高动力蓄电池温度超过BCP中单体动力蓄电池最高允许温度（CDZ）
常态故障,STANDBY,1,standby_0031,0x0031,49,0x30031,196657,是,BCL电压需求超过BCP中最大允许电压
常态故障,STANDBY,1,standby_0032,0x0032,50,0x30032,196658,是,BCL电流需求超过BCP中最大允许电流
常态故障,STANDBY,1,standby_0033,0x0033,51,0x30033,196659,是,BCP最大允许电压比充电机最小输出电压低
常态故障,STANDBY,1,standby_0034,0x0034,52,0x30034,196660,是,尝试3次仍然收不到BRO = 0XAA
常态故障,STANDBY,1,standby_0035,0x0035,53,0x30035,196661,是,充电桩侧收到APP要求停止充电(CDZ)
常态故障,STANDBY,1,standby_0036,0x0036,54,0x30036,196662,是,充电桩侧收到BCU要求停止充电(CDZ)
常态故障,STANDBY,1,standby_0037,0x0037,55,0x30037,196663,是,防雷器故障（ZLG）
常态故障,STANDBY,1,standby_0038,0x0038,56,0x30038,196664,是,主从板识别故障
常态故障,STANDBY,1,standby_0039,0x0039,57,0x30039,196665,是,CDZ地址识别故障
常态故障,STANDBY,1,standby_003A,0x003A,58,0x3003A,196666,是,接收到BST
常态故障,STANDBY,1,standby_003B,0x003B,59,0x3003B,196667,是,模块组中有模块有故障，但是不是所有模块有故障
常态故障,STANDBY,1,standby_003C,0x003C,60,0x3003C,196668,是,电子锁锁止故障（LEVEL2）
常态故障,STANDBY,1,standby_003D,0x003D,61,0x3003D,196669,是,zlg与can盒通讯故障
常态故障,STANDBY,1,standby_003E,0x003E,62,0x3003E,196670,是,cdz从暂停状态恢复到充电状态
常态故障,STANDBY,1,standby_003F,0x003F,63,0x3003F,196671,是,充电过程中CC1电压波动超过指定值
常态故障,STANDBY,1,standby_0040,0x0040,64,0x30040,196672,是,车辆BSM报SOC过低
常态故障,STANDBY,1,standby_0041,0x0041,65,0x30041,196673,是,泄放回路告警---拒动误动
常态故障,STANDBY,1,standby_0042,0x0042,66,0x30042,196674,是,BHM中最大电压输出小于充电机最低输出电压
常态故障,STANDBY,1,standby_0043,0x0043,67,0x30043,196675,是,切换开关遥信故障
常态故障,STANDBY,1,standby_0044,0x0044,68,0x30044,196676,是,车辆要求暂停充电超过10min
